company,ats_type,careers_url,location_filter
Google,Custom,https://careers.google.com/jobs/results/?location=India,india
Microsoft,Workday,https://careers.microsoft.com/professionals/us/en/l-india,india
Amazon,Custom,https://www.amazon.jobs/en/locations/india,india
Meta,Greenhouse,https://www.metacareers.com/jobs?locations[0]=India,india
Apple,Custom,https://jobs.apple.com/en-in/search,india
Netflix,Greenhouse,https://jobs.netflix.com/search?location=India,india
Twitter/X,Greenhouse,https://careers.twitter.com/,india
LinkedIn,Workday,https://careers.linkedin.com/,india
Uber,Greenhouse,https://www.uber.com/in/en/careers/list/,india
Airbnb,Greenhouse,https://careers.airbnb.com/positions/,india
Spotify,Greenhouse,https://www.lifeatspotify.com/jobs,india
Stripe,Greenhouse,https://stripe.com/jobs/search,india
PayPal,Workday,https://careers.pypl.com/home/jobs,india
Flipkart,Greenhouse,https://www.flipkartcareers.com/,india
Swiggy,Lever,https://careers.swiggy.com/,india
Zomato,Lever,https://www.zomato.com/careers,india
Razorpay,Greenhouse,https://razorpay.com/jobs/,india
PhonePe,Lever,https://www.phonepe.com/careers/,india
Paytm,Custom,https://paytm.com/careers/,india
CRED,Greenhouse,https://careers.cred.club/,india
Meesho,Greenhouse,https://www.meesho.com/careers,india
Groww,Greenhouse,https://groww.in/careers,india
Zerodha,Custom,https://zerodha.com/careers/,india
Upstox,Lever,https://upstox.com/careers/,india
ShareChat,Greenhouse,https://sharechat.com/careers,india
Dream11,Lever,https://www.dreamsports.group/careers,india
MPL,Lever,https://www.mpl.live/careers,india
Cure.fit,Lever,https://www.cult.fit/cult/careers,india
Lenskart,Lever,https://www.lenskart.com/careers,india
BigBasket,Lever,https://www.bigbasket.com/careers/,india
Blinkit,Lever,https://blinkit.com/careers,india
Zepto,Lever,https://www.zeptonow.com/careers,india
OYO,Lever,https://www.oyorooms.com/careers/,india
Ola,Lever,https://www.olacabs.com/careers,india
Rapido,Lever,https://www.rapido.bike/careers,india
Urban Company,Lever,https://careers.urbancompany.com/,india
Nykaa,Lever,https://www.nykaa.com/careers,india
PolicyBazaar,Lever,https://www.policybazaar.com/careers/,india
Byju's,Lever,https://byjus.com/byjus-careers/,india
Unacademy,Lever,https://unacademy.com/careers,india
upGrad,Lever,https://www.upgrad.com/careers/,india
Vedantu,Lever,https://www.vedantu.com/careers,india
Physics Wallah,Custom,https://www.pw.live/careers,india
Jio,Custom,https://careers.jio.com/,india
Hotstar,Custom,https://tech.hotstar.com/careers/,india
InMobi,Greenhouse,https://www.inmobi.com/company/careers,india
Glance,Lever,https://www.glance.com/careers,india
Dailyhunt,Lever,https://www.dailyhunt.in/careers,india
Dunzo,Lever,https://www.dunzo.com/careers,india
Spinny,Greenhouse,https://www.spinny.com/careers/,india
Cars24,Lever,https://www.cars24.com/careers/,india
CarDekho,Lever,https://www.cardekho.com/careers,india
Droom,Lever,https://droom.in/careers,india
MakeMyTrip,Lever,https://careers.makemytrip.com/,india
Cleartrip,Lever,https://www.cleartrip.com/careers/,india
redBus,Lever,https://www.redbus.in/careers,india
ixigo,Lever,https://www.ixigo.com/careers,india
Yatra,Lever,https://www.yatra.com/careers,india
EaseMyTrip,Custom,https://www.easemytrip.com/careers.html,india
Ola Electric,Lever,https://olaelectric.com/careers,india
Ather Energy,Lever,https://www.atherenergy.com/careers,india
Bounce,Lever,https://www.bounce.bike/careers,india
Vogo,Lever,https://www.vogo.in/careers,india
Yulu,Lever,https://www.yulu.bike/careers,india
BluSmart,Lever,https://www.blusmart.in/careers,india
Revv,Lever,https://www.revv.co.in/careers,india
Zoomcar,Lever,https://www.zoomcar.com/careers,india
Payu,Lever,https://payu.in/careers,india
Pine Labs,Lever,https://www.pinelabs.com/careers,india
BharatPe,Lever,https://www.bharatpe.com/careers,india
Slice,Lever,https://www.sliceit.com/careers,india
Jupiter,Lever,https://jupiter.money/careers/,india
Fi,Lever,https://fi.money/careers,india
Niyo,Lever,https://www.goniyo.com/careers/,india
Open,Lever,https://open.money/careers,india
Rupeek,Lever,https://rupeek.com/careers,india
Khatabook,Lever,https://khatabook.com/careers/,india
Lendingkart,Lever,https://www.lendingkart.com/careers/,india
Capital Float,Lever,https://capitalfloat.com/careers/,india
ZestMoney,Lever,https://www.zestmoney.in/careers,india
Simpl,Lever,https://getsimpl.com/careers/,india
LazyPay,Lever,https://www.lazypay.in/careers,india
MoneyTap,Lever,https://www.moneytap.com/careers,india
EarlySalary,Lever,https://www.earlysalary.com/careers,india
CASHe,Lever,https://www.cashe.co.in/careers,india
KreditBee,Lever,https://www.kreditbee.in/careers,india
Stashfin,Lever,https://stashfin.com/careers,india
Faircent,Lever,https://www.faircent.com/careers,india
Indifi,Lever,https://www.indifi.com/careers,india
Fibe,Lever,https://www.fibe.in/careers,india
Kissht,Lever,https://www.kissht.com/careers,india
FlexiLoans,Lever,https://www.flexiloans.com/careers,india
NeoGrowth,Lever,https://www.neogrowth.in/careers,india
Vivriti Capital,Lever,https://www.vivriticapital.com/careers,india
ClearTax,Lever,https://cleartax.in/careers,india
Smallcase,Lever,https://www.smallcase.com/careers,india
Kuvera,Lever,https://kuvera.in/careers,india
INDmoney,Lever,https://www.indmoney.com/careers,india
Scripbox,Lever,https://scripbox.com/careers,india
Fisdom,Lever,https://www.fisdom.com/careers,india
Paytm Money,Lever,https://www.paytmmoney.com/careers,india
Angel One,Custom,https://www.angelone.in/careers,india
5paisa,Custom,https://www.5paisa.com/careers,india
Dhan,Lever,https://dhan.co/careers,india
Fyers,Custom,https://fyers.in/careers,india
Coin DCX,Lever,https://coindcx.com/careers,india
WazirX,Lever,https://wazirx.com/careers,india
CoinSwitch,Lever,https://coinswitch.co/careers,india
Mudrex,Lever,https://mudrex.com/careers,india
Vauld,Lever,https://www.vauld.com/careers,india
BitBNS,Custom,https://bitbns.com/careers,india
ZebPay,Custom,https://zebpay.com/careers,india
Digit Insurance,Lever,https://www.godigit.com/careers,india
Acko,Lever,https://www.acko.com/careers,india
Turtlemint,Lever,https://www.turtlemint.com/careers,india
RenewBuy,Lever,https://www.renewbuy.com/careers,india
InsuranceDekho,Lever,https://www.insurancedekho.com/careers,india
Coverfox,Lever,https://www.coverfox.com/careers,india
Plum,Lever,https://www.plumhq.com/careers,india
Nova Benefits,Lever,https://www.novabenefits.com/careers,india
Pazcare,Lever,https://www.pazcare.com/careers,india
Onsurity,Lever,https://www.onsurity.com/careers,india
Vital,Lever,https://www.vitalhealth.in/careers,india
Myntra,Lever,https://www.myntra.com/careers,india
Ajio,Lever,https://www.ajio.com/careers,india
FirstCry,Lever,https://www.firstcry.com/careers,india
1mg,Lever,https://www.1mg.com/careers,india
Pharmeasy,Lever,https://pharmeasy.in/careers,india
Netmeds,Lever,https://www.netmeds.com/careers,india
HealthKart,Lever,https://www.healthkart.com/careers,india
Pepperfry,Lever,https://www.pepperfry.com/careers.html,india
Urban Ladder,Lever,https://www.urbanladder.com/careers,india
Livspace,Lever,https://www.livspace.com/in/careers,india
Homelane,Lever,https://www.homelane.com/careers,india
Purplle,Lever,https://www.purplle.com/careers,india
Sugar Cosmetics,Lever,https://in.sugarcosmetics.com/pages/careers,india
Mamaearth,Lever,https://mamaearth.in/careers,india
boAt,Lever,https://www.boat-lifestyle.com/pages/careers,india
Noise,Lever,https://www.gonoise.com/pages/careers,india
Fire-Boltt,Lever,https://www.fireboltt.com/careers,india
WOW Skin Science,Lever,https://www.buywow.in/careers,india
mCaffeine,Lever,https://www.mcaffeine.com/careers,india
Plum Goodness,Lever,https://plumgoodness.com/careers,india
Beardo,Lever,https://beardo.in/careers,india
The Man Company,Lever,https://www.themancompany.com/careers,india
Bombay Shaving Company,Lever,https://bombayshavingcompany.com/careers,india
Licious,Lever,https://www.licious.in/careers,india
FreshToHome,Lever,https://www.freshtohome.com/careers,india
Country Delight,Lever,https://www.countrydelight.in/careers,india
Milkbasket,Lever,https://www.milkbasket.com/careers,india
Supr Daily,Lever,https://suprdaily.com/careers,india
BB Daily,Lever,https://www.bbdaily.com/careers,india
DailyNinja,Lever,https://www.dailyninja.in/careers,india
JioMart,Custom,https://www.jiomart.com/careers,india
Reliance Digital,Custom,https://www.reliancedigital.in/careers,india
Croma,Custom,https://www.croma.com/careers,india
Tata Cliq,Custom,https://www.tatacliq.com/careers,india
Shoppers Stop,Custom,https://www.shoppersstop.com/careers,india
Lifestyle,Custom,https://www.lifestylestores.com/careers,india
Max Fashion,Custom,https://www.maxfashion.in/careers,india
FabIndia,Custom,https://www.fabindia.com/careers,india
Westside,Custom,https://www.westside.com/careers,india
Bewakoof,Lever,https://www.bewakoof.com/careers,india
The Souled Store,Lever,https://www.thesouledstore.com/careers,india
Snitch,Lever,https://www.snitch.co.in/careers,india
Urbanic,Lever,https://www.urbanic.com/careers,india
HRX,Lever,https://www.hrxbrand.com/careers,india
Rare Rabbit,Custom,https://www.rfrb.co/careers,india
Jack & Jones,Custom,https://www.jackjones.in/careers,india
Wrogn,Custom,https://wrogn.com/careers,india
Campus,Custom,https://campusshoes.com/careers,india
Sparx,Custom,https://www.sparxshoes.in/careers,india
Bata,Custom,https://www.bata.in/careers,india
Metro Shoes,Custom,https://www.metroshoes.net/careers,india
Woodland,Custom,https://www.woodlandworldwide.com/careers,india
Decathlon,Custom,https://www.decathlon.in/careers,india
Skechers,Custom,https://www.skechers.in/careers,india
Puma,Custom,https://in.puma.com/in/en/careers,india
Adidas,Custom,https://www.adidas.co.in/careers,india
Nike,Custom,https://www.nike.com/in/careers,india
Reebok,Custom,https://www.reebok.in/careers,india
ASICS,Custom,https://www.asics.com/in/en-in/careers,india
Crocs,Custom,https://www.crocs.in/careers,india
Rebel Foods,Lever,https://www.rebelfoods.com/careers,india
Box8,Lever,https://www.box8.in/careers,india
Faasos,Lever,https://www.faasos.com/careers,india
EatFit,Lever,https://www.eatfit.in/careers,india
FreshMenu,Lever,https://www.freshmenu.com/careers,india
Chaayos,Lever,https://www.chaayos.com/careers,india
Third Wave Coffee,Lever,https://thirdwavecoffee.in/careers,india
Blue Tokai,Lever,https://bluetokaicoffee.com/careers,india
Sleepy Owl,Lever,https://sleepyowl.co/careers,india
Rage Coffee,Lever,https://ragecoffee.com/careers,india
True Elements,Lever,https://www.trueelements.com/careers,india
Epigamia,Lever,https://www.epigamia.com/careers,india
Paperboat,Lever,https://paperboatdrinks.com/careers,india
Raw Pressery,Lever,https://www.rawpressery.com/careers,india
Lahori,Lever,https://lahori.in/careers,india
Bira 91,Lever,https://www.bira91.com/careers,india
Simplilearn,Lever,https://www.simplilearn.com/careers,india
Scaler,Lever,https://www.scaler.com/careers,india
Masai School,Lever,https://www.masaischool.com/careers,india
Newton School,Lever,https://www.newtonschool.co/careers,india
Coding Ninjas,Lever,https://www.codingninjas.com/careers,india
PrepBytes,Lever,https://www.prepbytes.com/careers,india
AlmaBetter,Lever,https://www.almabetter.com/careers,india
Coding Blocks,Lever,https://codingblocks.com/careers,india
Pepcoding,Lever,https://www.pepcoding.com/careers,india
InterviewBit,Lever,https://www.interviewbit.com/careers,india
GeeksforGeeks,Custom,https://www.geeksforgeeks.org/careers/,india
HackerRank,Greenhouse,https://www.hackerrank.com/careers,india
HackerEarth,Lever,https://www.hackerearth.com/careers/,india
Toppr,Lever,https://www.toppr.com/careers,india
Doubtnut,Lever,https://www.doubtnut.com/careers,india
Testbook,Lever,https://testbook.com/careers,india
Gradeup,Lever,https://gradeup.co/careers,india
Embibe,Lever,https://www.embibe.com/careers,india
Extramarks,Custom,https://www.extramarks.com/careers,india
Meritnation,Custom,https://www.meritnation.com/careers,india
Cuemath,Lever,https://www.cuemath.com/careers,india
WhiteHat Jr,Custom,https://www.whitehatjr.com/careers,india
Camp K12,Lever,https://campk12.com/careers,india
Codingal,Lever,https://www.codingal.com/careers,india
Tinkerly,Lever,https://www.tinkerly.in/careers,india
STEMpedia,Lever,https://www.stempedia.com/careers,india
SP Robotics,Custom,https://www.sproboticworks.com/careers,india
Lead School,Lever,https://leadschool.in/careers,india
Teachmint,Lever,https://www.teachmint.com/careers,india
Classplus,Lever,https://classplusapp.com/careers,india
Winuall,Lever,https://www.winuall.com/careers,india
Adda247,Lever,https://www.adda247.com/careers,india
